,degree,closeness,betwennes,influence
0,0.0135991058122205,0.4203602192638997,0.0003754848600255,0.0
1,0.0001862891207153,0.2959695649776699,0.0,0.0
2,0.4133755588673621,0.6193607938156225,0.0183213238545642,1.0
3,0.4353576751117735,0.6298990847218963,0.0204730904069926,1.0
4,0.1786512667660208,0.5062240663900415,0.0036269753999411,0.0
5,0.0592399403874813,0.4492050209205021,0.000755147442185,0.0
6,0.5445230998509687,0.6858310974830715,0.0331823615561506,1.0
7,0.4560357675111773,0.6391998094784472,0.0229953152759341,1.0
8,0.1123323397913561,0.4742887435942746,0.0013220130327388,0.0
9,0.4903129657228018,0.6577625291018258,0.0266703812193472,1.0
10,0.2013785394932936,0.5159554017685506,0.0045755801345083,0.0
11,0.5612891207153502,0.6947967900595392,0.0354462584038076,1.0
12,0.0566318926974664,0.446849246649463,0.0006893997809783,0.0
13,0.070230998509687,0.4532252617359,0.0008430197455811,0.0
14,0.1708271236959761,0.4998137802607076,0.003198591362053,0.0
15,0.3479880774962742,0.5868590794796108,0.0132417030240588,1.0
16,0.4051788375558867,0.615032080659945,0.0177824731752073,1.0
17,0.0206780923994038,0.4270145573144539,3.1724948533699566e-05,0.0
18,0.0570044709388971,0.4466261752225642,0.0003299050538058,0.0
19,0.3688524590163934,0.5950559804899679,0.0146775597452165,1.0
20,0.5055886736214605,0.6659223421411735,0.0276789164096143,1.0
21,0.3910208643815201,0.607171134487049,0.0166129464329938,1.0
22,0.0281296572280178,0.4304041051956382,0.0004343152605963,0.0
23,0.0059612518628912,0.4163822525597269,5.568990300266654e-07,0.0
24,0.4333084947839046,0.6290870737138169,0.0204072342579033,1.0
25,0.1300298062593144,0.4843890994405342,0.001984043404031,0.0
26,0.4996274217585693,0.662879723388491,0.0273614207233834,1.0
27,0.139903129657228,0.4853965096301654,0.0022501735931503,0.0
28,0.4388971684053651,0.6293821081017704,0.021010771495252,1.0
29,0.1525707898658718,0.4929745614840665,0.0024481136354294,0.0
30,0.455290611028316,0.6373782949418191,0.0226029672431458,1.0
31,0.4018256333830104,0.6122961104140527,0.0174104219193099,1.0
32,0.1631892697466468,0.4997207223980637,0.003226693019733,0.0
33,0.3651266766020864,0.593477059148701,0.0145074350636518,1.0
34,0.2922876304023845,0.5571354436948625,0.008927610822542,1.0
35,0.2846497764530551,0.555233760860571,0.0087374215470127,1.0
36,0.1650521609538003,0.4996276991809382,0.0035221435451707,0.0
37,0.2805514157973174,0.5531739488870568,0.0084162841322576,1.0
38,0.3856184798807749,0.6036208253682672,0.0160386156439587,1.0
39,0.2548435171385991,0.5399859169097676,0.0071893696409327,1.0
40,0.0391207153502235,0.4397837129280681,0.000173254586025,0.0
41,0.4847242921013412,0.654713989510916,0.0253799337536915,1.0
42,0.3859910581222057,0.6047087980173482,0.0159464561897268,1.0
43,0.323397913561848,0.5733817560350353,0.011015463921186,1.0
44,0.1240685543964232,0.4803579418344519,0.0015861363194186,0.0
45,0.0724664679582712,0.4552624883385633,0.0005199760453178,0.0
46,0.4353576751117735,0.6304169113329419,0.0205720308898128,1.0
